id,Smiles
64,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
65,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2
66,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3
67,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl
68,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
69,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
70,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
71,CN(C)c1nc(N(C)C)nc(N(C)C)n1
72,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
73,COc1ccc(C(=O)N2CCCC2=O)cc1
74,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1.O=C(O)/C=C\C(=O)O
75,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl
76,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
77,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
78,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
79,Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
80,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1
81,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
82,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl
83,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl
84,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1.Cl
85,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1
86,Cc1cc(=O)n(-c2ccccc2)n1C
87,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
88,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
89,CN/C(=C/[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
90,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl
91,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
92,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
93,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
94,NC(=O)NO
95,[I-].[K+]
96,CN1[C@H]2CC[C@@H]1CC(OC(=O)C1C=Nc3ccccc31)C2.Cl
97,NC(=O)c1cccnc1
98,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O.N#C[Co+2]
99,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
100,Cc1ncc([N+](=O)[O-])n1CCO
101,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
102,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+]
103,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
104,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
105,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
106,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
107,O=C1c2ccccc2C(=O)C1c1ccccc1
108,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
109,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1
110,Cc1cccc(C(C)c2c[nH]cn2)c1C.Cl
111,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
112,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
113,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
114,O=c1[nH]c(=O)n([C@H]2CCCO2)cc1F
115,O=P1(NCCCl)OCCCN1CCCl
116,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
117,S=c1nc[nH]c2nc[nH]c12
118,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
119,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12
120,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
121,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O
122,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3
123,CCOC(=O)c1cncn1C(C)c1ccccc1
124,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
125,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
126,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl
127,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N.O=C(O)/C=C/C(=O)O
128,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
129,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
130,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
131,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
132,CC[C@@H](C(N)=O)N1CCCC1=O
133,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
134,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O
135,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
136,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
137,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C
138,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
139,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12
140,CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl
141,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1.O=C(O)CC(O)(CC(=O)O)C(=O)O
142,CS(=O)(=O)O.CS(=O)(=O)O.N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1
143,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1.Cl.Cl
144,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1
145,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl
146,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1.O=C(O)CC(O)C(=O)O
